id,createdAt,updatedAt,archived,address,country,createdate,firstname,hs_object_id,industry,lastmodifieddate,lastname,phone,raw_email,technical_test___create_date,country_city,email,city
461395,2023-05-15 02:39:02.969000+00:00,2023-06-02T21:24:07.580Z,False,"Yorkshire  Alley, 5843",Ireland,2023-05-15T02:39:02.969Z,Aeris,461395,Fruit and vegetables,2023-06-02T21:24:07.580Z,Walsh,(+353) 3814 518751,Aeris <aeris_walsh769266811@gompie.com> Contact Info.,2021-05-06,"('Ireland', 'Cork')",aeris_walsh769266811@gompie.com,Cork
457622,2023-05-15 02:39:02.969000+00:00,2023-06-02T21:25:44.803Z,False,"Kimberley  Pass, 3455",England,2023-05-15T02:39:02.969Z,Gina,457622,Bakery products,2023-06-02T21:25:44.803Z,Weasley,(+44) 6057 27343,Gina <gina_weasley83573127@naiker.biz> Contact Info.,2021-10-02,"('England', 'Plymouth')",gina_weasley83573127@naiker.biz,Plymouth
454631,2023-05-15 02:39:02.969000+00:00,2023-06-02T21:25:44.800Z,False,"Walnut Rue, 3859",Ireland,2023-05-15T02:39:02.969Z,Caleb,454631,Animal feeds,2023-06-02T21:25:44.800Z,Purvis,(+353) 5516 171174,Caleb <caleb_purvis1251615808@iatim.tech> Contact Info.,2021-02-23,"('Ireland', 'Dublin')",caleb_purvis1251615808@iatim.tech,Dublin
454595,2023-05-15 02:39:02.969000+00:00,2023-06-02T21:19:13.386Z,False,"Howard Crossroad, 9998",England,2023-05-15T02:39:02.969Z,Hailey,454595,Bakery products,2023-06-02T21:19:13.386Z,Farrell,(+44) 6747 016018,Hailey <hailey_farrell934796609@brety.org> Contact Info.,2021-12-04,"('England', 'London')",hailey_farrell934796609@brety.org,London
462218,2023-05-15 02:39:02.968000+00:00,2023-06-02T21:22:45.241Z,False,"Chambers  Route, 5482",Ireland,2023-05-15T02:39:02.968Z,Boris,462218,Poultry and fish,2023-06-02T21:22:45.241Z,Steer,(+353) 5672 814262,Boris <boris_steer1451972670@acrit.org> Contact Info.,2021-12-29,"('Ireland', 'Cork')",boris_steer1451972670@acrit.org,Cork
455788,2023-05-15 02:39:02.968000+00:00,2023-06-02T21:19:13.386Z,False,"Hickory Lane Boulevard, 8003",England,2023-05-15T02:39:02.968Z,Nate,455788,Meat,2023-06-02T21:19:13.386Z,Talbot,(+44) 2367 281545,Nate <nate_talbot614746746@fuliss.net> Contact Info.,2021-06-08,"('England', 'London')",nate_talbot614746746@fuliss.net,London
457946,2023-05-15 02:39:02.968000+00:00,2023-06-02T21:25:44.804Z,False,"Fieldstone Boulevard, 9817",England,2023-05-15T02:39:02.968Z,Laila,457946,Fruit and vegetables,2023-06-02T21:25:44.804Z,Myatt,(+44) 3665 445184,Laila <laila_myatt196597378@infotech44.tech> Contact Info.,2021-10-23,"('England', 'London')",laila_myatt196597378@infotech44.tech,London
461738,2023-05-15 02:39:02.968000+00:00,2023-06-02T21:22:52.471Z,False,"Rivervalley Rue, 3207",England,2023-05-15T02:39:02.968Z,Isabella,461738,Milling,2023-06-02T21:22:52.471Z,Thorne,(+44) 5601 402118,Isabella <isabella_thorne1412239823@extex.org> Contact Info.,2021-06-16,"('England', 'Unknown')",isabella_thorne1412239823@extex.org,Unknown
457945,2023-05-15 02:39:02.968000+00:00,2023-06-02T21:19:13.386Z,False,"Cleaver Crossroad, 3832",England,2023-05-15T02:39:02.968Z,Miriam,457945,Animal feeds,2023-06-02T21:19:13.386Z,Dubois,(+44) 3856 10758,Miriam <miriam_dubois1313153459@womeona.net> Contact Info.,2021-10-12,"('England', 'Plymouth')",miriam_dubois1313153459@womeona.net,Plymouth
462411,2023-05-15 02:39:02.968000+00:00,2023-06-02T21:19:13.386Z,False,"Arlington  Crossroad, 7876",Ireland,2023-05-15T02:39:02.968Z,Tania,462411,Animal feeds,2023-06-02T21:19:13.386Z,Whittle,(+353) 3787 531877,Tania <tania_whittle2104199231@guentu.biz> Contact Info.,2021-08-16,"('Ireland', 'Limerick')",tania_whittle2104199231@guentu.biz,Limerick
463716,2023-05-15 02:39:02.968000+00:00,2023-06-02T21:22:52.296Z,False,"Camdale  Vale, 9951",Ireland,2023-05-15T02:39:02.968Z,Gil,463716,Fruit and vegetables,2023-06-02T21:22:52.296Z,Leslie,(+353) 8034 400771,Gil <gil_leslie1987658426@eirey.tech> Contact Info.,2021-09-19,"('Ireland', 'Unknown')",gil_leslie1987658426@eirey.tech,Unknown
463717,2023-05-15 02:39:02.968000+00:00,2023-06-02T21:24:08.973Z,False,"Virginia Lane, 7272",Ireland,2023-05-15T02:39:02.968Z,Lily,463717,Bakery products,2023-06-02T21:24:08.973Z,Daniells,(+353) 4701 073300,Lily <lily_daniells128867383@typill.biz> Contact Info.,2021-02-12,"('Ireland', 'Waterford')",lily_daniells128867383@typill.biz,Waterford
